"","simul_idx","up_dw","low_dw","up_dw_x1_to_xn","low_dw_x1_to_xn","up_dw_x1_to_xn_tails","low_dw_x1_to_xn_tails","up_t_test","low_t_test","up_anderson","low_anderson","up_cheby","low_cheby","up_emp_bern","low_emp_bern","up_hoeffding","low_hoeffding","up_PI_emp_bern","low_PI_emp_bern","up_PI_hedged","low_PI_hedged"
"69",69,0.703519430630566,0.332646919716083,0.703496758986452,0.332660622492873,0.799819114404472,0.332660622492873,0.639179480630284,0.400738902268157,0.69290388985319,0.326997903086378,0.792627874263999,0.0739707781513677,0.888770538925547,0.151147843972894,0.693041029709449,0.346877353188992,0.743108452777762,0.306273255942246,0.68,0.35
"70",70,0.572228288388152,0.210337795713503,0.572216727880563,0.210364542885942,0.668558525312041,0.210364542885942,0.496428988787141,0.264723273946065,0.553533170837185,0.187674540653999,0.699965599008892,-0.0656720467312205,0.743931856591004,0.0172204061422014,0.553657969626831,0.207494293106374,0.600798272518228,0.172565337915982,0.55,0.23
"71",71,0.685625616558737,0.314516023466458,0.685603108597924,0.314550411653666,0.781956294576326,0.314550411653666,0.619396679978031,0.380759576377189,0.673023478300111,0.307148815205722,0.779958414107942,0.0535051328547407,0.869048672267505,0.131107584087715,0.673159966437838,0.326996289917381,0.724185662137943,0.285843561838402,0.66,0.34
"72",72,0.55217427414366,0.193587398211777,0.55215537700091,0.193606303395756,0.648485486344317,0.193606303395756,0.475092231872199,0.245878950548507,0.533499157054925,0.167546423493959,0.685914808100453,-0.0851054894165315,0.721822303619367,-0.00085112119866082,0.533567429470581,0.187403752950124,0.567315278416764,0.146524472104514,0.53,0.22
"73",73,0.755843978763099,0.38881024888831,0.755814709522696,0.388834505660113,0.852152795137697,0.388834505660113,0.697335880554928,0.461845905070744,0.752545424007826,0.386660060744186,0.829417486144311,0.136567335210416,0.946012084250041,0.213169701375631,0.752672731073065,0.406509054552608,0.800249506889413,0.367222628137895,0.73,0.41
"74",74,0.738838703827635,0.369971778073913,0.73881310198606,0.369996210084432,0.835151448785525,0.369996210084432,0.678374287043699,0.441479067092394,0.732863636881827,0.366951241481069,0.817493746061724,0.11571738238502,0.927486196395677,0.192367157740416,0.733008515328275,0.386844838807818,0.771192940612333,0.337647801796704,0.71,0.38
"75",75,0.630300608368197,0.261500634554168,0.630269596252021,0.261547133734221,0.726640833054103,0.261547133734221,0.558838511984977,0.321986837838659,0.613339092833784,0.247467635276608,0.740811734281475,-0.00679060942844528,0.807936919662328,0.0728884301613071,0.613494513172046,0.267330836651589,0.653305373556134,0.218827265908511,0.61,0.28
"76",76,0.667398312492097,0.296597736296096,0.667371506784587,0.296641456768417,0.763738602063015,0.296641456768417,0.599333520594034,0.360934563382031,0.653048666230517,0.287220926153571,0.767056918148398,0.03316648516499,0.848911673967073,0.111356410008992,0.653215880248261,0.307052203727804,0.694537741839866,0.256256012037883,0.65,0.32
"77",77,0.72064481922,0.350591348142513,0.720604285347925,0.350608362258608,0.816931576150079,0.350608362258608,0.65813330777944,0.420403486706746,0.712249173969022,0.346391098820713,0.804744144496458,0.0940365175753636,0.907503990916566,0.171032803569621,0.712350235503322,0.366186558982865,0.751772660134507,0.316100628365963,0.7,0.37
"78",78,0.591944350420402,0.227182989761471,0.591922395529883,0.22720338542231,0.688254726353837,0.22720338542231,0.517434072430056,0.283703417270477,0.573558786043086,0.207640549974944,0.713782557156962,-0.0461679824065175,0.765564786827326,0.0355727028732077,0.573650583110495,0.227486906590038,0.621730537616416,0.19122672739743,0.56,0.25
